INTAKEID,RECVDATE,AE_CATEGORY,AE_SHORT,ADVERSE_EVENT,FINDING_DETAIL,ASPEN_FACID,NAME,ASPEN_FACTYPE_LABEL,LAT,LON
CA00900878,20-May-24,05 - Environmental Events,22: Fall,22: Patient Death Associated with a Fall,Unsubstantiated,CA060000018,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,General Acute Care Hospital,33.852357,-117.844272
CA00841950,22-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated with deficiencies,CA030000146,WOODLAND MEMORIAL HOSPITAL,General Acute Care Hospital,38.664036,-121.792122
CA00883982,7-Feb-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA930000008,ANTELOPE VALLEY HOSPITAL,General Acute Care Hospital,34.68935389,-118.1585617
CA00838148,26-Apr-23,01 - Surgical Events,03: Surgery Wrong Procedure,"03: Wrong Surgical Procedure Performed, Inconsistent with the Informed Consent",Substantiated with deficiencies,CA930000092,MEMORIAL HOSPITAL OF GARDENA,General Acute Care Hospital,33.893073,-118.2950595
CA00837874,25-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000135,SAN JOAQUIN GENERAL HOSPITAL,General Acute Care Hospital,37.886715,-121.284144
CA00849892,11-Jul-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA230000013,ENLOE HEALTH,General Acute Care Hospital,39.742164,-121.850289
CA00838470,27-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA930000002,CALIFORNIA HOSPITAL MEDICAL CENTER LA,General Acute Care Hospital,34.03746,-118.2658005
CA00902683,31-May-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA080000022,SCRIPPS GREEN HOSPITAL,General Acute Care Hospital,32.896494,-117.242631
CA00906431,24-Jun-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA080000022,SCRIPPS GREEN HOSPITAL,General Acute Care Hospital,32.896494,-117.242631
CA00907214,28-Jun-24,07 - Other,28: Adverse Event Series			,28: Adverse Event/Series of Adverse Events Caused the Death/Serious Disability of a Patient/Personnel/Visitor,Substantiated without deficiencies,CA080000022,SCRIPPS GREEN HOSPITAL,General Acute Care Hospital,32.896494,-117.242631
