INTAKEID,RECVDATE,AE_CATEGORY,AE_SHORT,ADVERSE_EVENT,FINDING_DETAIL,ASPEN_FACID,NAME,ASPEN_FACTYPE_LABEL,LAT,LON
CA00819364,4-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00819439,4-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000901,MERCY HOSPITAL OF FOLSOM,General Acute Care Hospital,38.67021,-121.145382
CA00819831,9-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000123,MEMORIAL MEDICAL CENTER,General Acute Care Hospital,37.668762,-120.9746565
CA00820220,9-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00820763,11-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000901,MERCY HOSPITAL OF FOLSOM,General Acute Care Hospital,38.67021,-121.145382
CA00821181,13-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00821183,13-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00821829,17-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA240000103,ST BERNARDINE MEDICAL CENTER,General Acute Care Hospital,34.13475,-117.2760165
CA00822318,20-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00822348,20-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000022,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,General Acute Care Hospital,37.785843,-122.4217485
CA00822350,20-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00823491,27-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00824298,1-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000901,MERCY HOSPITAL OF FOLSOM,General Acute Care Hospital,38.67021,-121.145382
CA00825896,8-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00826222,10-Feb-23,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Z2_Missing,CA220000815,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,General Acute Care Hospital,37.76905359,-122.4346773
CA00826546,13-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA240000100,ARROWHEAD REGIONAL MEDICAL CENTER,General Acute Care Hospital,34.07193214,-117.3527728
CA00826587,13-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00826615,13-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00826658,13-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00826680,13-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00826934,14-Feb-23,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Z2_Missing,CA140000034,HIGHLAND HOSPITAL,General Acute Care Hospital,37.798281,-122.231673
CA00827409,17-Feb-23,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Z2_Missing,CA140000187,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,General Acute Care Hospital,37.91313,-122.041152
CA00827883,21-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00827972,22-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00828782,27-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00829442,2-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00829612,3-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA240000104,PROVIDENCE ST MARY MEDICAL CENTER,General Acute Care Hospital,34.542261,-117.265347
CA00829762,6-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00830019,7-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000901,MERCY HOSPITAL OF FOLSOM,General Acute Care Hospital,38.67021,-121.145382
CA00830347,8-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00830348,8-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000022,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,General Acute Care Hospital,37.785843,-122.4217485
CA00830696,10-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00830895,13-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000008,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,General Acute Care Hospital,37.782306,-122.443227
CA00831358,15-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000022,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,General Acute Care Hospital,37.785843,-122.4217485
CA00832006,20-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000025,SEQUOIA HOSPITAL,General Acute Care Hospital,37.479735,-122.2547985
CA00832098,20-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00832107,20-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00832112,20-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00832473,20-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,24000151,KINDRED HOSPITAL RANCHO,General Acute Care Hospital,34.103529,-117.5663205
CA00833345,27-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00834514,27-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA240000046,REDLANDS COMMUNITY HOSPITAL,General Acute Care Hospital,34.036506,-117.2051775
CA00834920,5-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00835237,10-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00835317,10-Apr-23,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00835761,12-Apr-23,01 - Surgical Events,03: Surgery Wrong Procedure,"03: Wrong Surgical Procedure Performed, Inconsistent with the Informed Consent",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00836442,11-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,24,KAISER FOUNDATION HOSPITAL FONTANA,General Acute Care Hospital,,
CA00837020,18-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA240000040,KINDRED HOSPITAL ONTARIO,General Acute Care Hospital,34.06905825,-117.6436833
CA00837081,23-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,24,KAISER FOUNDATION HOSPITAL FONTANA,General Acute Care Hospital,,
CA00837360,21-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000135,SAN JOAQUIN GENERAL HOSPITAL,General Acute Care Hospital,37.886715,-121.284144
CA00838404,27-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000022,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,General Acute Care Hospital,37.785843,-122.4217485
CA00838417,27-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000022,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,General Acute Care Hospital,37.785843,-122.4217485
CA00838889,1-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000007,SAN MATEO MEDICAL CENTER,General Acute Care Hospital,37.531332,-122.2993665
CA00838942,2-May-23,01 - Surgical Events,03: Surgery Wrong Procedure,"03: Wrong Surgical Procedure Performed, Inconsistent with the Informed Consent",Z2_Missing,CA070000133,REGIONAL MEDICAL CENTER OF SAN JOSE,General Acute Care Hospital,37.362474,-121.8492675
CA00839112,3-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000037,METHODIST HOSPITAL OF SACRAMENTO,General Acute Care Hospital,38.463381,-121.416183
CA00839562,5-May-23,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Z2_Missing,CA030000130,KAISER FOUNDATION HOSPITAL - SACRAMENTO,General Acute Care Hospital,38.602089,-121.3925895
CA00840001,9-May-23,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Z2_Missing,CA140000196,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,General Acute Care Hospital,37.98355222,-122.0346165
CA00840324,10-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA240000104,PROVIDENCE ST MARY MEDICAL CENTER,General Acute Care Hospital,34.542261,-117.265347
CA00840431,11-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000017,MILLS-PENINSULA MEDICAL CENTER,General Acute Care Hospital,37.59282,-122.3825355
CA00840432,11-May-23,01 - Surgical Events,01: Surgery Wrong Body Part,"01: Surgery Performed on a Wrong Body Part, Inconsistent with Informed Consent",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00840513,11-May-23,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00841224,17-May-23,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Z2_Missing,CA220000025,SEQUOIA HOSPITAL,General Acute Care Hospital,37.479735,-122.2547985
CA00841228,17-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00841729,19-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00841734,19-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00841967,22-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00842013,22-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00842223,23-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00842404,24-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000018,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,General Acute Care Hospital,37.747206,-122.420664
CA00842412,24-May-23,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Z2_Missing,CA220000007,SAN MATEO MEDICAL CENTER,General Acute Care Hospital,37.531332,-122.2993665
CA00842729,26-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00842803,26-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00842861,26-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00842867,26-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00843009,26-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,24000151,KINDRED HOSPITAL RANCHO,General Acute Care Hospital,34.103529,-117.5663205
CA00843205,30-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000901,MERCY HOSPITAL OF FOLSOM,General Acute Care Hospital,38.67021,-121.145382
CA00843209,30-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000901,MERCY HOSPITAL OF FOLSOM,General Acute Care Hospital,38.67021,-121.145382
CA00843341,31-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000018,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,General Acute Care Hospital,37.747206,-122.420664
CA00843348,31-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00843525,1-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00843962,5-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00843975,5-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000008,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,General Acute Care Hospital,37.782306,-122.443227
CA00844550,7-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00846161,16-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA030000108,SUTTER AMADOR HOSPITAL,General Acute Care Hospital,38.35071,-120.764691
CA00846908,22-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000031,UCSF MEDICAL CENTER,General Acute Care Hospital,37.78438112,-122.4396268
CA00847763,27-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
CA00848616,6-Oct-23,07 - Other,28: Adverse Event Series			,28: Adverse Event/Series of Adverse Events Caused the Death/Serious Disability of a Patient/Personnel/Visitor,Z2_Missing,CA140000011,ALAMEDA HOSPITAL,General Acute Care Hospital,37.76319,-122.2540155
CA00848862,5-Jul-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000022,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,General Acute Care Hospital,37.785843,-122.4217485
CA00848873,5-Jul-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Z2_Missing,CA220000019,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,General Acute Care Hospital,37.756161,-122.4056655
